iter	Passed	Remaining
1358	145226	495951
1359	145340	495867
1360	145436	495723
1361	145547	495630
1362	145681	495616
1363	145780	495481
1364	145880	495351
1365	146016	495343
1366	146133	495270
1367	146227	495122
1368	146337	495025
1369	146469	495003
1370	146584	494924
1371	146695	494828
1372	146786	494669
1373	146919	494651
1374	147032	494562
1375	147126	494414
1376	147257	494386
1377	147386	494353
1378	147478	494198
1379	147591	494111
1380	147710	494042
1381	147829	493976
1382	147922	493825
1383	148014	493665
1384	148109	493520
1385	148205	493375
1386	148298	493224
1387	148411	493137
1388	148506	492990
1389	148601	492842
1390	148730	492809
1391	148840	492714
1392	148956	492636
1393	149070	492551
1394	149170	492421
1395	149292	492365
1396	149425	492344
1397	149540	492265
1398	149670	492233
1399	149766	492088
1400	149878	491998
1401	150013	491983
1402	150112	491852
1403	150221	491751
1404	150337	491673
1405	150450	491584
1406	150539	491421
1407	150652	491333
1408	150781	491298
1409	150896	491216
1410	150990	491066
1411	151119	491029
1412	151211	490874
1413	151308	490736
1414	151420	490646
1415	151534	490562
1416	151628	490413
1417	151746	490341
1418	151843	490201
1419	151954	490105
1420	152088	490085
1421	152199	489993
1422	152294	489845
1423	152409	489763
1424	152504	489618
1425	152597	489466
1426	152691	489319
1427	152783	489163
1428	152915	489137
1429	153028	489047
1430	153122	488900
1431	153219	488760
1432	153343	488708
1433	153459	488629
1434	153553	488480
1435	153671	488411
1436	153819	488431
1437	153934	488352
1438	154046	488258
1439	154160	488173
1440	154253	488023
1441	154363	487926
1442	154456	487772
1443	154549	487623
1444	154678	487584
1445	154772	487437
1446	154867	487291
1447	154961	487145
1448	155055	486996
1449	155149	486846
1450	155243	486699
1451	155355	486609
1452	155446	486452
1453	155540	486304
1454	155630	486145
1455	155742	486052
1456	155854	485961
1457	155946	485809
1458	156088	485810
1459	156219	485778
1460	156315	485638
1461	156428	485550
1462	156526	485413
1463	156655	485374
1464	156751	485235
1465	156871	485166
1466	156963	485014
1467	157058	484870
1468	157152	484724
1469	157250	484587
1470	157345	484443
1471	157437	484290
1472	157564	484245
1473	157663	484114
1474	157777	484028
1475	157896	483957
1476	158030	483936
1477	158145	483853
1478	158259	483767
1479	158391	483734
1480	158493	483614
1481	158588	483469
1482	158683	483325
1483	158809	483277
1484	158938	483238
1485	159075	483222
1486	159189	483135
1487	159283	482989
1488	159377	482843
1489	159489	482749
1490	159585	482610
1491	159702	482531
1492	159801	482401
1493	159920	482331
1494	160052	482298
1495	160175	482238
1496	160307	482206
1497	160398	482053
1498	160523	481999
1499	160638	481915
1500	160732	481768
1501	160823	481612
1502	160918	481469
1503	161014	481329
1504	161106	481178
1505	161202	481038
1506	161329	480990
1507	161441	480898
1508	161552	480804
1509	161649	480665
1510	161764	480583
1511	161864	480455
1512	161978	480369
1513	162103	480315
1514	162254	480336
1515	162403	480355
1516	162534	480316
1517	162632	480183
1518	162736	480067
1519	162838	479943
1520	162943	479830
1521	163064	479765
1522	163178	479678
1523	163294	479597
1524	163391	479460
1525	163507	479377
1526	163625	479304
1527	163735	479205
1528	163874	479190
1529	163967	479041
1530	164100	479009
1531	164195	478867
1532	164288	478719
1533	164382	478574
1534	164496	478485
1535	164625	478443
1536	164719	478298
1537	164812	478150
1538	164944	478112
1539	165035	477959
1540	165130	477817
1541	165260	477776
1542	165372	477684
1543	165482	477584
1544	165609	477534
1545	165722	477443
1546	165813	477291
1547	165930	477210
1548	166045	477126
1549	166140	476983
1550	166272	476949
1551	166370	476813
1552	166465	476672
1553	166579	476583
1554	166674	476442
1555	166772	476308
1556	166895	476248
1557	167035	476233
1558	167164	476187
1559	167259	476046
1560	167356	475908
1561	167471	475825
1562	167565	475681
1563	167659	475536
1564	167753	475390
1565	167843	475235
1566	167954	475138
1567	168066	475044
1568	168181	474958
1569	168291	474859
1570	168390	474730
1571	168488	474597
1572	168583	474456
1573	168693	474358
1574	168783	474201
1575	168905	474137
1576	169034	474090
1577	169131	473955
1578	169245	473866
1579	169343	473732
1580	169457	473645
1581	169550	473499
1582	169643	473352
1583	169758	473265
1584	169856	473132
1585	169951	472993
1586	170049	472858
1587	170144	472717
1588	170237	472572
1589	170336	472441
1590	170429	472296
1591	170522	472150
1592	170654	472111
1593	170772	472033
1594	170870	471901
1595	170964	471758
1596	171094	471715
1597	171188	471572
1598	171300	471477
1599	171428	471427
1600	171545	471348
1601	171663	471270
1602	171756	471123
1603	171871	471040
1604	171990	470965
1605	172124	470931
1606	172254	470886
1607	172351	470751
1608	172489	470726
1609	172605	470644
1610	172703	470511
1611	172796	470366
1612	172908	470272
1613	173039	470229
1614	173150	470133
1615	173282	470093
1616	173377	469951
1617	173467	469799
1618	173566	469669
1619	173664	469537
1620	173782	469460
1621	173920	469434
1622	174036	469352
1623	174135	469221
1624	174232	469086
1625	174350	469010
1626	174463	468918
1627	174561	468784
1628	174675	468697
1629	174768	468549
1630	174908	468530
1631	175027	468455
1632	175122	468314
1633	175217	468175
1634	175312	468035
1635	175403	467886
1636	175497	467742
1637	175589	467596
1638	175682	467449
1639	175814	467409
1640	175917	467291
1641	176017	467164
1642	176111	467022
1643	176227	466939
1644	176338	466841
1645	176431	466697
1646	176528	466563
1647	176639	466464
1648	176733	466322
1649	176828	466184
1650	176944	466099
1651	177037	465956
1652	177151	465865
1653	177248	465733
1654	177345	465597
1655	177459	465509
1656	177552	465366
1657	177683	465319
1658	177783	465194
1659	177898	465107
1660	177995	464974
1661	178088	464830
1662	178198	464730
